vault_address,nav_start,nav_end,annualized_return,sharpe,mdd,win_rate,freq,metrics_mode,balance,time_in_market,avg_hold_days,trader_age_hours
0xda51323fe9800c8365646ad5c7ade0dd17fdc167,1999.097319,617414.2400629995,12.9,-1.43,-6.19,0.45,D,full,617414.2400629995,0.82,795.7916666666666,19100.571998181946
0x15be61aef0ea4e4dc93c79b668f26b3f1be75a66,5163.643883000002,259016.7235000012,1140.09,2.19,-0.93,0.45,D,full,259016.7235000012,1.0,53.833333333333336,4891.057563942221
0x060d01aa996003b3731a992462d7f0ba68bf3b04,349989.6531579999,333958.03996799636,-0.34,-0.22,-0.22,0.41,D,full,333958.03996799636,1.0,16.25,1006.4140410897222
0x780825f3f0ad6799e304fb843387934c1fa06e70,99000.0,246804.6578409988,619561.46,4.23,-0.06,0.56,D,full,246804.6578409988,1.0,23.125,610.2134340422223
0x0c6d22e0725c60be1cdb9949fbcabf1a73517d04,400.0,431775.3011720065,71104161.54,1.62,-0.83,0.53,D,full,431775.3011720065,0.99,13.533333333333331,3402.696663616111
0x66e541024ca4c50b8f6c0934b8947c487d211661,43119.365617,247410.17831600027,5.28,1.58,-1.29,0.49,D,full,247410.17831600027,0.98,347.4583333333333,8340.77057599889
0x49a648936441b22f28f069d3c088928682b277ae,29954.542291,214563.31410699984,1.0194694759745062e+24,6.24,-0.02,0.89,D,full,214563.31410699984,0.7,3.9583333333333335,335.27611527444446
0xd914c5164bc253676386269d90dcf56b441cf75b,213746.62491100005,-598203.8315069835,4.47,1.35,-2.55,0.52,D,full,-598203.8315069835,1.0,221.54166666666663,5318.596331277223
0x797327122c5ed1b1530e452b7f8723ba834b4c6a,9402.476659000013,148826.51562099907,15030220.52,3.86,-0.32,0.41,D,full,148826.51562099907,1.0,61.625,1480.7909126894444
0xc497f1f8840dd65affbab1a610b6e558844743d4,156242.05377600016,1803694.4411779651,111.63,1.62,-0.6,0.51,D,full,1803694.4411779651,1.0,189.79166666666663,4556.228378499167
0xe67dbf2d051106b42104c1a6631af5e5a458b682,40972.312289999994,192660.64383300068,377619.1,5.81,-0.25,0.51,D,full,192660.64383300068,0.98,2.359375,1077.8233785036111
0xa0cbceaac4dc736c457b7c340865695e2b3d0fc9,55993.281073000006,59336.735104999185,0.22,0.25,-1.06,0.48,D,full,59336.735104999185,1.0,106.04166666666669,2611.4234041494447
0x241ba250828c6a1289330aeec301e7bdcef31a43,6319.516625000001,562535.835298001,68.73,2.36,-0.84,0.71,D,full,562535.835298001,0.86,10.804597701149426,9264.299536547222
0xa1b6d8efbcb2fb750a84dbc05649fa4968034f04,26399.874692000005,156014.0807120017,17.56,1.62,-0.19,0.44,D,full,156014.0807120017,1.0,133.5,5344.6442315916665
0x3b4f22366857da94f9346f88eac84718c8a8d48d,100.0,156367.14351800078,16175.78,1.15,-0.08,0.54,D,full,156367.14351800078,0.99,272.75,6665.957988111666
0x4391c22edeece3a9aa5b8f3c1a3a25378980ff10,10000.0,136401.6677459982,1109.85,1.69,-0.5323872452179929,0.53,D,full,136401.6677459982,1.0,8.348958333333334,3264.3760259194446
0x0cfeaf978d691e35e86b46e7f8fa4582ff74e3d3,138258.116273,125567.76036700066,-0.36,1.5,-0.75,0.49,D,full,125567.76036700066,0.86,3.4944444444444445,1880.8778398594443
0x3fe404ae27cc5eef4a08e226ae2ac4f5be7a06c4,131739.86035000003,121313.62791899969,-0.35,-0.24,-0.29,0.49,D,full,121313.62791899969,1.0,69.20833333333333,1662.046678745
0xff9152cce6fbd30988b1aef70df6f086c99e2c55,10000.0,701898.8821879773,66.8,-0.42,-1.44,0.43,D,full,701898.8821879773,0.98,203.625,8837.298544023333
0x8c7bd04cf8d00d68ce8bc7d2f3f02f98d16a5ab0,8718.115360999998,120262.89416999993,2927.3,3.54,-0.18,0.6,D,full,120262.89416999993,0.96,8.802083333333334,2898.1106854077775
0x15a141990fc6591838646467273c41c92999772f,112989.63873099998,117665.39671000006,0.27,0.73,-0.22,0.51,D,full,117665.39671000006,1.0,61.5,1477.1679978888887
